probe	geneid
3825489	10147
2824747	55521
3060095	11257
2339061	57235
2339063	57235
2339065	57235
2339067	57235
2353310	4808
2429631	4808
2357781	57234
2357785	57234
2357787	57234
2316241	5590
2405358	57242
3621156	9836
3646408	26048
2729814	8449
3057258	9883
2775390	643616
2985332	100128124
3222404	58483
3768434	22901
3768441	22901
2661919	51066
3787640	84322
3359230	29125
3007849	9031
3203987	57462
4041921	83858
3064392	4584
3475920	23457
2355242	9659
2355244	9659
2355301	9659
2355303	9659
2355305	9659
2355347	9659
2355350	9659
2355352	9659
2856129	9659
2355239	9659
2994315	790953
3962766	85368
3962768	85368
3962770	85368
3953372	85376
3171394	79937
3305372	85450
3041550	29896
2594716	65072
3986454	84443
2349392	55599
3195736	79813
3195738	79813
3656119	23049
2809455	4724
3507766	100131766
2776126	100131077
3727499	10040
3920512	257203
3606184	114817
3636806	114817
3636826	114817
3636828	114817
7385528	114817
7385530	114817
7385531	114817
7385534	114817
7385535	114817
7385536	114817
7385537	114817
7385538	114817
7385541	114817
7385542	114817
7385543	114817
7385544	114817
7385545	114817
3675235	197335
3924244	105372840
3363255	55031
2959895	100996552
3124333	286046
2831597	492311
2576511	2776
3193046	1757
3193052	1757
3188861	100379345
2336231	5865
2336233	5865
3077261	135932
3077220	135932
3843252	7565
3860433	284406
3891046	79716
3836057	284352
4052358	196383
3254227	728118
3254304	728118
3254307	728118
3031076	23145
3031108	23145
3031110	23145
3031114	23145
3031144	23145
3031146	23145
3031160	23145
3031167	23145
3099561	100505477
3667364	92154
2959823	100289683
4044751	643988
3228415	7248
2336630	6342
2336632	6342
2336634	6342
2336636	6342
2336638	6342
2336642	6342
2413098	6342
3358463	55367
3336397	10432
3336400	10432
2342661	5876
2342663	5876
3223856	727
3753448	54475
3177261	4915
3158695	4796
3654654	6817
3654656	6817
3654658	6817
3654693	6817
3933320	63977
2709120	6434
2891109	84851
2433426	51205
2921471	5980
3309682	7073
3309684	7073
3139032	10565
3717248	4763
3717250	4763
3065238	246721
3258760	9211
3258762	9211
2989080	5879
3251283	23478
3286767	83937
3458697	2583
2559003	84693
2406232	5690
3732012	5578
3166535	48
2828555	6584
2999735	28988
2999737	28988
2999739	28988
2999741	28988
2370638	777
2370640	777
2370642	777
2370644	777
2370648	777
2370650	777
3856065	440515
2545786	8890
2901810	23
3687157	23117
7385656	3119
2351418	64783
3376364	9376
3217236	55357
2334234	1263
2334236	1263
2334238	1263
2899051	10475
3203838	55833
2340809	84251
2340811	84251
3348488	644277
3389463	440067
3373568	81191
3373558	81191
3354928	338667
3940358	129049
3610800	3480
3610802	3480
3377256	105369343
2409574	6632
4049065	5154
3115342	101867536
3115346	101867536
3350902	100379571
3731142	284021
3603383	3658
3386990	10094
3372801	50937
2359343	388699
3594214	100129973
3735662	79157
3735664	79157
2948104	80862
2833059	2047
2703272	3840
3824765	1431
3994490	105373366
4025418	105373366
3920066	5710
2539603	129642
2544766	100131510
3684964	730092
2512698	51085
2726769	51085
2771806	6482
3461291	10476
3418298	3798
3087763	8638
3727191	56934
2876754	9597
2718228	391632
3382758	101928837
2825203	100505503
3420545	23426
2988622	84629
2957558	8521
2548106	100288911
3820084	101928238
2985761	101929460
2349149	6224
2739995	55345
3114022	22882
3774956	105376790
2614503	51616
2568896	100506513
3039029	85477
3377725	254100
3677643	646174
2443095	101928565
3601658	440288
3167301	25853
3068339	9732
3532534	253959
3317002	100505570
3358938	100505570
3176968	80318
2741322	645513
3755853	22806
3919159	9992
2767964	2555
2531708	257407
3022407	79571
2793588	100506107
3314382	107984282
3760532	9570
2926071	100507254
2523754	65059
2329978	127703
3071755	55798
3346760	84259
2753727	152641
3721324	3885
2435127	7286
3100592	444
3186278	944
3077441	9747
3261359	10724
2451777	100381270
2985883	101929504
3354953	50937
3640389	100507311
3232013	642394
2579435	79712
2551661	440862
3474084	105370027
2875671	100506102
3723519	100506084
3760319	100506084
2913794	101928516
3290851	100507027
2773632	100505946
3373984	648315
3371108	56981
2324678	100874292
3480278	100861551
2973322	79718
3811195	8792
3502408	23263
2648439	152118
3715667	8456
3895793	80025
3015574	221908
2627606	101929335
3326730	960
2609414	29931
3145754	101927066
3650800	79905
2733037	100505875
2707037	51555
2941617	100506379
2362790	100505633
2488107	400961
3109902	51366
3109904	51366
3109914	51366
3197939	29044
